Id;Nom;Type;Texte;Action gratuite;Couleur scan;Revenu;Cout;Gain;Contrainte
99;Microscope Electronique;Action;Marquez 1 Trace de Vie Jaune pour une espèce pour laquelle vous avez déjà marqué 1 Trace de Vie Jaune.;1 Donnée;Jaune;1 Pioche;1 Crédit;;GAIN_LIFETRACE_IF_ALREADY:yellow:1
100;Supercalculateur Exascale;Action;Marquez 1 Trace de Vie Bleu pour une espèce pour laquelle vous avez déjà marqué 1 Trace de Vie Bleu.;1 Donnée;Bleu;1 Crédit;1 Crédit;;GAIN_LIFETRACE_IF_ALREADY:blue:1
101;Temps de Télescope;Mission conditionnelle;Mission: Gagnez 1 Signal dans un secteur Jaune après avoir effectué l'action Scanner un secteur. Mission: Gagnez 1 Signal dans un secteur Rouge après avoir effectué l'action Scanner un secteur. Mission: Gagnez 1 Signal dans un secteur Bleu après avoir effectué l'action Scanner un secteur.;1 Média;Jaune;1 Energie;2 Crédits;;GAIN_ON_SCAN:yellowsignal:1 + GAIN_ON_SCAN:redsignal:1 + GAIN_ON_SCAN:bluesignal:1
102;Analyse Linguistique;Mission déclenchable;Gagnez 3 Médias. Mission: Gagnez 1 Trace de Vie de n'importe quelle couleur pour une espèce où vous avez acquis 3 Traces de Vie de couleurs différentes.;1 Donnée;Bleu;1 Crédit;2 Crédits;3 Médias;GAIN_IF_3_LIFETRACES:different:lifetrace:1
103;Radiotélescope de Synthèse de Westerbork;Mission déclenchable;Gagnez 1 Rotation et 1 Technologie Observation. Mission: Gagnez 9 PV si vous avez couvert 2 fois un même secteur.;1 Donnée;Jaune;1 Energie;3 Crédits;1 Rotation + 1 Tech Observation;GAIN_IF_COVERED:same:pv:9
104;Sonde Rosetta;Mission déclenchable;Gagnez 1 Sonde. Mission: Gagnez 3 PV et 1 Donnée si vous avez une sonde sur une comète.;1 Média;Bleu;1 Energie;2 Crédits;1 Sonde;GAIN_IF_PROBE_ON_COMET:pv:3:data:1
105;Observatoire de Green Bank;Mission déclenchable;Gagnez 1 Scan. Mission: Gagnez 1 Trace de Vie Rouge si vous avez acquis 3 Traces de Vie Rouge.;1 Déplacement;Noir;1 Crédit;2 Crédits;1 Scan;GAIN_IF_3_LIFETRACES:red:redlifetrace:1
106;Planification Stratégique;Mission conditionnelle;Mission: Gagnez 2 PV après avoir joué une carte pour 1 Crédit. Mission: Gagnez 1 Carte après avoir joué une carte pour 2 Crédits. Mission: Gagnez 2 Média après avoir joué une carte pour 3 Crédits.;1 Déplacement;Jaune;1 Crédit;1 Crédit;;GAIN_ON_PLAY:1:pv:2 + GAIN_ON_PLAY:2:anycard:1 + GAIN_ON_PLAY:3:media:2
107;Première Photo d'un Trou Noir;Mission conditionnelle;Gagnez 2 Données. Mission: Gagnez 2 Média après avoir acquis une trace de vie Bleu. Mission: Gagnez 4 PV après avoir acquis une trace de vie Bleu.;1 Déplacement;Rouge;1 Energie;2 Crédits;2 Données;GAIN_ON_LIFETRACE:blue:media:2 + GAIN_ON_LIFETRACE:blue:pv:4
108;SETI@home;Action;Si vous avez au moins 8 Médias marquez 1 Trace de Vie Rouge.;1 Donnée;Noir;1 Crédit;1 Crédit;;GAIN_LIFETRACE_IF_MEDIA:red:1
109;Microprocesseurs Basse Consommation;Action;Gagnez 1 Energie, 1 Rotation et 1 Technologie Informatique.;1 Donnée;Jaune;1 Pioche;3 Crédits;1 Energie + 1 Rotation + 1 Tech Informatique;
110;Conférence de Presse;Action;Gagnez 3 Médias.;1 Donnée;Rouge;1 Crédit;1 Crédit;3 Médias;
110;PLATO;Action;Gagnez 3 Signaux dans un secteur où se trouve l'une de vos sondes. Toutefois, ces signaux ne vous permettent pas d'obtenir de Données.;1 Donnée;Jaune;1 Crédit;1 Crédit;3 Signaux Sonde;NO_DATA
111;Télescope Spatial Roman;Mission déclenchable;Gagnez 1 Rotation et 1 Technologie Observation. Mission: Gagnez 2 Données si vous avez 2 orbiteurs.;1 Média;Rouge;1 Energie;3 Crédits;1 Rotation + 1 Tech Observation;GAIN_IF_2_ORBITERS:data:2
112;Cartographie Géologique Planétaire;Mission déclenchable;Gagnez 1 Rotation et 1 Technologie Exploration. Mission: Gagnez 3 PV et 1 Donnée si vous avez un orbiteur et un atterrisseur sur une même planète.;1 Média;Jaune;1 Energie;3 Crédits;1 Rotation + 1 Tech Exploration;GAIN_IF_ORBITER_AND_LANDER:pv:3:data:1
113;Congrès Solvay;Fin de jeu;Gagnez 2 Médias. Fin de jeu: Résolvez la case la plus à droite d'une tuile Score dorée sur laquelle vous n'avez pas placé de marqueur.;1 Donnée;Bleu;1 Pioche;2 Crédits;2 Médias;
114;Chasseurs de Planètes;Action;Gagnez 1 Carte.Vous pouvez ensuite défausser jusqu'à 3 cartes de votre main pour leurs signaux.;1 Média;Rouge;1 Energie;1 Crédit;1 Carte;GAIN_SIGNAL_FROM_HAND:3
115;Radiotélescope CHIME;Mission déclenchable;Gagnez 1 Signal dans n'importe quel secteur. Mission: Gagnez 1 Donnée si vous avez acquis 3 Technologie Observation.;1 Média;Rouge;1 Pioche;1 Crédit;1 Signal;GAIN_IF_3_TECH_OBS:data:1
116;Centre de Contrôle;Mission conditionnelle;Mission: Gagnez 1 Déplacement après avoir marqué un signal dans un secteur Jaune. Mission: Gagnez 1 Déplacement après avoir marqué un signal dans un secteur Rouge. Mission: Gagnez 1 Déplacement après avoir marqué un signal dans un secteur Bleu.;1 Média;Noir;1 Pioche;1 Crédit;;GAIN_ON_SIGNAL:yellow:move:1 + GAIN_ON_SIGNAL:red:move:1 + GAIN_ON_SIGNAL:blue:move:1
117;Station Lunar Gateway;Mission conditionnelle;Gagnez 1 Sonde. Mission: Gagnez 1 Sonde après avoir effectué l'action Mettre en orbite ou Poser une sonde. Mission: Gagnez 1 Energie après avoir effectué l'action Mettre en orbite ou Poser une sonde.;1 Média;Rouge;1 Pioche;3 Crédits;1 Sonde;GAIN_ON_ORBIT_OR_LAND:probe:1 + GAIN_ON_ORBIT_OR_LAND:energy:1
119;PIXL;Action;Gagnez 1 Rotation et 1 Technologie Informatique. Gagnez ensuite 1 PV pour chaque niveau de Média que vous avez.;1 Donnée;Bleu;1 Energie;3 Crédits;1 Rotation + 1 Tech Informatique;SCORE_PER_MEDIA:1
120;Orbite aux Points de Lagrange;Action;Gagnez 1 Signal dans un secteur où se trouve l'une de vos sondes. Si vous avez marqué exactement 1 signal dans ce secteur, reprenez cette carte en main.;1 Déplacement;Noir;1 Crédit;1 Crédit;1 Signal Sonde;KEEP_CARD_IF_ONLY
121;Futur Collisionneur Circulaire;Action;Gagnez 3 Données, 1 Rotation et 1 Technologie Informatique.;1 Déplacement;Jaune;1 Energie;4 Crédits;3 Données + 1 Rotation + 1 Tech Informatique;
122;Astronomes Amateurs;Action;Effectuez ceci 3 fois: Défaussez la première carte du paquet pour son signal.;1 Média;Noir;1 Energie;2 Crédits;3 Signaux Deck;
123;Survol d'Astéroïdes;Action;Gagnez 1 Déplacement. Si vous visitez un champ d'astéroïdes ce tour-ci, gagnez 1 Donnée.;1 Média;Rouge;1 Pioche;0 Crédit;1 Déplacement;VISIT_ASTEROID:1
124;Rencontre avec une Comète;Action;Gagnez 2 Déplacements. Si vous visitez une comète ce tour-ci, gagnez 4 PVs.;1 Média;Jaune;1 Energie;1 Crédit;2 Déplacements;VISIT_COMET:4
125;Correction de Trajectoire;Action;Gagnez 1 Déplacement. Si vous vous déplacez sur le même disque au moins une fois ce tour-ci, gagnez 3 PV et 1 Média.;1 Donnée;Bleu;1 Pioche;1 Crédit;1 Déplacement;SAME_DISK_MOVE:3:1
126;Télescope Spatial Euclide;Fin de jeu;Gagnez 1 Rotation et 1 Technologie Exploration ou Observation. Fin de jeu: Gagnez 2 PVs pour chaque Technologie Informatique.;1 Média;Bleu;1 Pioche;3 Crédits;1 Rotation + 1 Tech;CHOICE_EXPLO_OR_OBSERV + SCORE_PER_TECH_CATEGORY:computing:2
127;NEAR Shoemaker;Fin de jeu;Gagnez 2 Médias. Fin de jeu: Si vous avez une sonde sur un champ d'astéroïdes, gagnez 13 PVs.;1 Donnée;Jaune;1 Crédit;1 Crédit;2 Médias;SCORE_IF_PROBE_ON_ASTEROID:13
128;Système de Navigation Avancée;Mission conditionnelle;Mission: Gagnez 1 Energie après avoir visité une planète (sauf la Terre). Mission: Gagnez 1 Donnée après avoir visité une plnète (sauf la Terre). Mission: Gagnez 1 Déplacement après avoir visité une plnète (sauf la Terre).;1 Média;Bleu;1 Pioche;1 Crédit;;GAIN_ON_VISIT:planet:energy:1 + GAIN_ON_VISIT:planet:data:1 + GAIN_ON_VISIT:planet:move:1
129;Recherche d'Astéroïdes;Mission conditionnelle;Mission: Gagnez 1 Donnée après avoir visité un champ d'astéroïdes lors de vote tour. Mission: Gagnez 1 Donnée après avoir visité un champ d'astéroïdes lors de vote tour. Mission: Gagnez 1 Donnée après avoir visité un champ d'astéroïdes lors de vote tour.;1 Déplacement;Rouge;1 Energie;0 Crédit;;GAIN_ON_VISIT:asteroid:data:1 + GAIN_ON_VISIT:asteroid:data:1 + GAIN_ON_VISIT:asteroid:data:1
130;Lancement Spatial à Faible Coût;Action;Gagnez 1 Sonde.;1 Média;Jaune;1 Energie;1 Crédit;1 Sonde;
131;Modernisation de Télescopes;Mission conditionnelle;Gagnez 1 Carte. Mission: Gagnez 1 Média après avoir acquis une Technologie Observation. Mission: Gagnez 1 Donnée après avoir effectué l'action Scanner un secteur.;1 Donnée;Rouge;1 Crédit;1 Crédit;1 Carte;GAIN_ON_TECH:red:media:1 + GAIN_ON_SCAN:data:1
132;Navette Spatiale;Mission déclenchable;Gagnez 1 Sonde et 2 Média. Mission: Gagnez 3 PV et 1 Crédit si vous avez 5 atterrisseur/orbiteur.;1 Déplacement;Noir;1 Pioche;3 Crédits;1 Sonde + 2 Média;GAIN_IF_ORBITER_OR_LANDER:total:pv:3:credit:1
133;Fenêtre de Lancement Optimale;Action;Gagnez 1 Sonde. Puis 1 Déplacement pour chaque autre planète ou comète dans le même secteur que la Terre.;1 Donnée;Rouge;1 Pioche;2 Crédits;1 Sonde;OPTIMAL_LAUNCH_WINDOW
134;Télescope Spatial Herschel;Mission déclenchable;Gagnez 1 Signal dans un secteur où se trouve l'une de vos sondes. Mission: Gagnez 2 Médias si vous avez marqué un signal dans 4 secteurs différents.;1 Déplacement;Rouge;1 Pioche;1 Crédit;1 Signal Sonde;GAIN_IF_4_SIGNALS:media:2
135;Radiotélescope de Noto;Action;Gagnez 1 Média et 1 Scan;1 Déplacement;Bleu;1 Energie;2 Crédits;1 Média + 1 Scan;
136;Radiotélescope d'Algonquin;Action;Gagnez 4 Signaux dans un secteur Jaune, Rouge, Bleu et Noir. Toutefois, ces signaux ne vous permettent pas dobtenir des Données.;1 Donnée;Rouge;1 Energie;1 Crédit;1 Signal Jaune + 1 Signal Bleu + 1 Signal Rouge + 1 Signal Noir;NO_DATA
137;Archives de Données du SETI;Action;Gagnez 2 Données.;1 Média;Noir;1 Energie;1 Crédit;2 Données;
138;Université Cornell;Mission conditionnelle;Mission: Gagnez 1 Média après avoir défaussé une carte pour gagnez 1 Média gratuitement. Mission: Gagnez 1 Donnée après avoir défaussé une carte pour gagnez 1 Donnée gratuitement. Mission: gagnez 1 Déplacement après avoir défaussé une carte pour gagnez 1 Déplacement.;1 Média;Bleu;1 Pioche;1 Crédit;;GAIN_ON_DISCARD:media:media:1 + GAIN_ON_DISCARD:data:data:1 + GAIN_ON_DISCARD:move:move:1
